mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.105,0.072,-0.247,-0.107,0.048,-0.11,0,-9.96754774137344,-21.8859306468623,4.91706553244706,0.9372,SOVI,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
-0.092,0.031,-0.154,-0.092,-0.03,-0.092,0,-8.78948504549096,-14.2727978988543,-2.95544664514918,0.9956,SOVI,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
-0.037,0.017,-0.078,-0.036,-0.008,-0.033,0,-3.63238646509465,-7.50355734564607,-0.796808516293934,0.9919,WAVI,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,13460,9925,Warbling Vireo,Viréo mélodieux
-0.069,0.031,-0.136,-0.068,-0.009,-0.066,0,-6.6673319921798,-12.7157367511281,-0.895962122711635,0.9852,WAVI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,13460,9925,Warbling Vireo,Viréo mélodieux
-0.023,0.015,-0.056,-0.022,0.005,-0.021,0,-2.27375162267229,-5.44608641096037,0.501252085940096,0.9519,WAVI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,13460,9925,Warbling Vireo,Viréo mélodieux
-0.05,0.045,-0.138,-0.051,0.042,-0.052,0,-4.8770575499286,-12.8901308254202,4.28944787507632,0.876,TRES,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,14120,11959,Tree Swallow,Hirondelle bicolore
-0.06,0.146,-0.368,-0.056,0.225,-0.049,0,-5.82354664157513,-30.788281831127,25.2322716191864,0.6754,TRES,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,14120,11959,Tree Swallow,Hirondelle bicolore
-0.034,0.045,-0.126,-0.034,0.055,-0.033,0,-3.34284953624934,-11.8385153216584,5.65406146754943,0.7887,TRES,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,14120,11959,Tree Swallow,Hirondelle bicolore
-0.036,0.034,-0.104,-0.037,0.032,-0.037,0,-3.53597065168769,-9.87747025787952,3.25175053051183,0.8697,BARS,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,14250,11995,Barn Swallow,Hirondelle rustique
-0.197,0.096,-0.424,-0.187,-0.031,-0.175,0,-17.8809366687342,-34.5576118091141,-3.05244269239741,0.9895,BARS,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,14250,11995,Barn Swallow,Hirondelle rustique
-0.035,0.037,-0.112,-0.034,0.036,-0.032,0,-3.43945837424335,-10.5955742499643,3.66558464909237,0.8485,BARS,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,14250,11995,Barn Swallow,Hirondelle rustique
-0.025,0.013,-0.052,-0.025,0,-0.025,0,-2.46900879716674,-5.06711331571105,0,0.9744,BCCH,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14280,11181,Black-capped Chickadee,Mésange à tête noire
0.01,0.042,-0.073,0.01,0.098,0.009,0,1.00501670841679,-7.03991699742073,10.2962785108508,0.6141,BCCH,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14280,11181,Black-capped Chickadee,Mésange à tête noire
-0.019,0.015,-0.049,-0.019,0.01,-0.019,0,-1.8820637757194,-4.78188703014951,1.00501670841679,0.9063,BCCH,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14280,11181,Black-capped Chickadee,Mésange à tête noire
-0.055,0.015,-0.083,-0.056,-0.023,-0.057,0,-5.35148520465162,-7.96488527798753,-2.27375162267229,0.9983,RBNU,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14410,13237,Red-breasted Nuthatch,Sittelle à poitrine rousse
-0.029,0.045,-0.12,-0.029,0.062,-0.029,0,-2.85835355333952,-11.3079563282843,6.39623447280337,0.773,RBNU,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14410,13237,Red-breasted Nuthatch,Sittelle à poitrine rousse
-0.055,0.017,-0.089,-0.056,-0.018,-0.056,0,-5.35148520465162,-8.5154426425548,-1.78389676416992,0.9945,RBNU,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,I,14410,13237,Red-breasted Nuthatch,Sittelle à poitrine rousse
-0.064,0.022,-0.106,-0.065,-0.02,-0.066,0,-6.19950004692705,-10.0575351924076,-1.98013266932447,0.9965,GCKI,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
-0.024,0.041,-0.104,-0.025,0.061,-0.025,0,-2.37142902420907,-9.87747025787952,6.28989141871952,0.7517,GCKI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
-0.084,0.024,-0.132,-0.084,-0.035,-0.084,0,-8.05687439048753,-12.3659004920627,-3.43945837424335,0.9985,GCKI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
-0.024,0.022,-0.067,-0.025,0.022,-0.025,0,-2.37142902420907,-6.48047986632234,2.22437844704382,0.8841,RCKI,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
0.074,0.021,0.032,0.075,0.116,0.075,0,7.68068054962199,3.25175053051183,12.2995872133255,0.9987,RCKI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
-0.033,0.025,-0.085,-0.033,0.017,-0.033,0,-3.2461440410968,-8.14877155985426,1.71453223252407,0.927,RCKI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
0.049,0.016,0.018,0.048,0.081,0.048,0,5.02203507400281,1.81629763897937,8.43708965667604,0.9977,SWTH,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,15580,13861,Swainson's Thrush,Grive à dos olive
0.041,0.046,-0.044,0.039,0.141,0.036,0,4.18521055454795,-4.30460425269533,15.1424647984744,0.8297,SWTH,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,15580,13861,Swainson's Thrush,Grive à dos olive
0.052,0.017,0.018,0.052,0.087,0.051,0,5.33757425133647,1.81629763897937,9.08966797182778,0.998,SWTH,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,15580,13861,Swainson's Thrush,Grive à dos olive
-0.031,0.035,-0.095,-0.033,0.047,-0.035,0,-3.05244269239741,-9.06270655317686,4.81220090796557,0.8312,AMRO,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,15770,13974,American Robin,Merle d'Amérique
0.029,0.027,-0.023,0.029,0.081,0.029,0,2.94245944751308,-2.27375162267229,8.43708965667604,0.8688,AMRO,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,15770,13974,American Robin,Merle d'Amérique
-0.062,0.045,-0.158,-0.061,0.025,-0.059,0,-6.01171132089111,-14.6150218031518,2.53151205244289,0.9363,AMRO,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,15770,13974,American Robin,Merle d'Amérique
-0.026,0.045,-0.125,-0.024,0.058,-0.021,0,-2.56649103912506,-11.7503097415405,5.97149957102876,0.733,CEDW,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16330,14652,Cedar Waxwing,Jaseur d'Amérique
-0.004,0.07,-0.142,-0.005,0.141,-0.006,0,-0.399201065600852,-13.2378743514086,15.1424647984744,0.5333,CEDW,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16330,14652,Cedar Waxwing,Jaseur d'Amérique
0.029,0.032,-0.039,0.03,0.091,0.031,0,2.94245944751308,-3.82492908536333,9.52690052584655,0.8334,CEDW,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16330,14652,Cedar Waxwing,Jaseur d'Amérique
-0.051,0.024,-0.1,-0.051,-0.005,-0.05,0,-4.9721329467573,-9.51625819640405,-0.498752080731768,0.9853,YWAR,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16560,16660,Yellow Warbler,Paruline jaune
-0.083,0.067,-0.231,-0.08,0.042,-0.076,0,-7.96488527798753,-20.6260533964757,4.28944787507632,0.917,YWAR,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16560,16660,Yellow Warbler,Paruline jaune
-0.049,0.029,-0.113,-0.048,0.005,-0.046,0,-4.78188703014951,-10.6849339883984,0.501252085940096,0.9664,YWAR,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,16560,16660,Yellow Warbler,Paruline jaune
0.036,0.032,-0.023,0.034,0.107,0.031,0,3.66558464909237,-2.27375162267229,11.2934254479326,0.8938,MAWA,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,M,16580,16654,Magnolia Warbler,Paruline à tête cendrée
-0.022,0.038,-0.088,-0.026,0.066,-0.03,0,-2.175976494879,-8.42391232766744,6.82267171659934,0.782,MAWA,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,16580,16654,Magnolia Warbler,Paruline à tête cendrée
0.035,0.034,-0.027,0.032,0.113,0.029,0,3.56197087996233,-2.66387584756632,11.9631932948586,0.8723,MAWA,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,16580,16654,Magnolia Warbler,Paruline à tête cendrée
-0.013,0.03,-0.065,-0.015,0.056,-0.018,0,-1.29158649797124,-6.29325366225966,5.75976837366112,0.7181,YRWA,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,16610,16681,Yellow-rumped Warbler,Paruline à croupion jaune
0.019,0.044,-0.058,0.016,0.121,0.011,0,1.91816486174081,-5.63500525632015,12.8624912367344,0.667,YRWA,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,16610,16681,Yellow-rumped Warbler,Paruline à croupion jaune
-0.041,0.024,-0.089,-0.042,0.01,-0.043,0,-4.01708700522011,-8.5154426425548,1.00501670841679,0.9566,YRWA,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,16610,16681,Yellow-rumped Warbler,Paruline à croupion jaune
-0.043,0.018,-0.079,-0.043,-0.007,-0.043,0,-4.20886099329694,-7.59600755549132,-0.697555706676489,0.9873,AMRE,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,16890,16634,American Redstart,Paruline flamboyante
-0.029,0.064,-0.173,-0.025,0.088,-0.02,0,-2.85835355333952,-15.8862385155377,9.19881220281975,0.6862,AMRE,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,16890,16634,American Redstart,Paruline flamboyante
-0.034,0.024,-0.08,-0.035,0.018,-0.036,0,-3.34284953624934,-7.68836536133642,1.81629763897937,0.9303,AMRE,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,16890,16634,American Redstart,Paruline flamboyante
-0.095,0.034,-0.164,-0.095,-0.029,-0.094,0,-9.06270655317686,-15.1257978119793,-2.85835355333952,0.9958,NOWA,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,16940,16558,Northern Waterthrush,Paruline des ruisseaux
-0.085,0.09,-0.28,-0.082,0.088,-0.078,0,-8.14877155985426,-24.4216258544275,9.19881220281975,0.856,NOWA,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,16940,16558,Northern Waterthrush,Paruline des ruisseaux
-0.074,0.039,-0.153,-0.074,0.006,-0.074,0,-7.13283061587128,-14.1870278188606,0.601803605406492,0.9704,NOWA,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,16940,16558,Northern Waterthrush,Paruline des ruisseaux
-0.025,0.026,-0.077,-0.025,0.03,-0.026,0,-2.46900879716674,-7.41101463935047,3.04545339535169,0.8499,COYE,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,17000,16615,Common Yellowthroat,Paruline masquée
0.038,0.049,-0.068,0.039,0.132,0.041,0,3.87312328784977,-6.57395264227865,14.1108319267235,0.8166,COYE,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,17000,16615,Common Yellowthroat,Paruline masquée
-0.007,0.027,-0.061,-0.007,0.049,-0.007,0,-0.697555706676489,-5.91767602239903,5.02203507400281,0.6258,COYE,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,17000,16615,Common Yellowthroat,Paruline masquée
-0.045,0.034,-0.109,-0.047,0.028,-0.049,0,-4.40025181669,-10.3269582501765,2.8395684421425,0.9198,WIWA,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,M,17140,16777,Wilson's Warbler,Paruline à calotte noire
-0.037,0.061,-0.158,-0.038,0.088,-0.039,0,-3.63238646509465,-14.6150218031518,9.19881220281975,0.788,WIWA,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,17140,16777,Wilson's Warbler,Paruline à calotte noire
-0.05,0.039,-0.121,-0.053,0.039,-0.056,0,-4.8770575499286,-11.3966040407124,3.97704836501578,0.9086,WIWA,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,17140,16777,Wilson's Warbler,Paruline à calotte noire
-0.042,0.052,-0.127,-0.049,0.087,-0.058,0,-4.11302194275155,-11.9266327402843,9.08966797182778,0.8342,CHSP,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,18770,16105,Chipping Sparrow,Bruant familier
0.038,0.038,-0.035,0.038,0.113,0.038,0,3.87312328784977,-3.43945837424335,11.9631932948586,0.8488,CHSP,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,18770,16105,Chipping Sparrow,Bruant familier
-0.079,0.04,-0.151,-0.082,0.015,-0.086,0,-7.59600755549132,-14.0152301340794,1.51130646157189,0.9612,CHSP,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,18770,16105,Chipping Sparrow,Bruant familier
-0.028,0.017,-0.063,-0.028,0.005,-0.028,0,-2.76116331987531,-6.10565263108668,0.501252085940096,0.953,SOSP,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,18990,16248,Song Sparrow,Bruant chanteur
0.002,0.041,-0.083,0.003,0.081,0.004,0,0.20020013340003,-7.96488527798753,8.43708965667604,0.5286,SOSP,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,18990,16248,Song Sparrow,Bruant chanteur
-0.026,0.02,-0.066,-0.026,0.015,-0.026,0,-2.56649103912506,-6.38691357083812,1.51130646157189,0.9087,SOSP,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,18990,16248,Song Sparrow,Bruant chanteur
0.024,0.026,-0.026,0.023,0.08,0.021,0,2.42903178906215,-2.56649103912506,8.32870676749586,0.8281,LISP,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19000,16260,Lincoln's Sparrow,Bruant de Lincoln
0.097,0.042,0.016,0.096,0.184,0.094,0,10.1860373621011,1.61286854060949,20.2015823096301,0.9878,LISP,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19000,16260,Lincoln's Sparrow,Bruant de Lincoln
0.014,0.028,-0.041,0.014,0.072,0.013,0,1.40984589384923,-4.01708700522011,7.46553440638136,0.6935,LISP,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19000,16260,Lincoln's Sparrow,Bruant de Lincoln
0.149,0.019,0.111,0.149,0.189,0.148,0,16.0672989209085,11.7394906854458,20.8040952482902,1,WTSP,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,19030,16204,White-throated Sparrow,Bruant à gorge blanche
0.132,0.055,0.032,0.128,0.258,0.123,0,14.1108319267235,3.25175053051183,29.4338818624238,0.9916,WTSP,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,19030,16204,White-throated Sparrow,Bruant à gorge blanche
0.151,0.021,0.11,0.151,0.194,0.15,0,16.299665808182,11.6278070458871,21.4096282956233,1,WTSP,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,19030,16204,White-throated Sparrow,Bruant à gorge blanche
-0.01,0.016,-0.041,-0.01,0.023,-0.01,0,-0.995016625083189,-4.01708700522011,2.32665395472176,0.7396,WCSP,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,19050,16191,White-crowned Sparrow,Bruant à couronne blanche
0.007,0.024,-0.039,0.007,0.054,0.007,0,0.702455726684859,-3.82492908536333,5.54846021550801,0.621,WCSP,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,19050,16191,White-crowned Sparrow,Bruant à couronne blanche
-0.011,0.018,-0.045,-0.011,0.026,-0.011,0,-1.09397212246313,-4.40025181669,2.6340948473442,0.73,WCSP,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,19050,16191,White-crowned Sparrow,Bruant à couronne blanche
-0.14,0.067,-0.276,-0.14,-0.005,-0.139,0,-13.0641764601194,-24.1187069238759,-0.498752080731768,0.9784,RWBL,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19530,16482,Red-winged Blackbird,Carouge à épaulettes
-0.018,0.288,-0.611,-0.02,0.578,-0.024,0,-1.78389676416992,-45.7192210209676,78.246992358524,0.5406,RWBL,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19530,16482,Red-winged Blackbird,Carouge à épaulettes
-0.136,0.083,-0.305,-0.136,0.032,-0.135,0,-12.7157367511281,-26.2876625608372,3.25175053051183,0.9552,RWBL,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19530,16482,Red-winged Blackbird,Carouge à épaulettes
-0.085,0.06,-0.207,-0.085,0.037,-0.085,0,-8.14877155985426,-18.6980350012429,3.76930208381572,0.9367,RUBL,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19650,16507,Rusty Blackbird,Quiscale rouilleux
-0.092,0.198,-0.488,-0.095,0.325,-0.095,0,-8.78948504549096,-38.6147126957183,38.4030645980751,0.7157,RUBL,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,19650,16507,Rusty Blackbird,Quiscale rouilleux
